tanggal,co_dki1,Tavg,RH_avg,ss,ff_avg
1/1/2017,25,29.9,70,5,2
1/2/2017,16,30.2,68,7.5,2
1/3/2017,17,29.9,71,8.2,2
1/4/2017,22,27.4,79,5,2
1/5/2017,25,28,81,4.6,1
1/6/2017,24,27.7,85,4.6,1
1/7/2017,22,28.7,76,5.3,2
1/8/2017,17,29.1,72,4,2
1/9/2017,23,27.9,77,6.8,1
1/10/2017,34,27.8,83,1,1
1/11/2017,25,27.4,87,5.2,1
1/12/2017,23,28.1,78,1.1,2
1/13/2017,19,28.3,75,4.3,3
1/14/2017,17,26.7,78,1.7,2
1/15/2017,16,28,77,0.6,3
1/16/2017,18,26.4,87,0,2
1/17/2017,18,27.3,77,0.2,2
1/18/2017,19,28.6,73,3,2
1/19/2017,16,28.2,76,5.6,4
1/20/2017,15,29.7,66,9.3,2
1/21/2017,18,28.8,74,9.5,2
1/22/2017,20,28.4,78,6,3
1/23/2017,18,29,71,3.2,3
1/24/2017,30,28.6,77,6.6,2
1/25/2017,18,28.9,74,5,2
1/26/2017,22,27.3,83,3.7,2
1/27/2017,24,28,78,0,2
1/28/2017,23,27.4,83,0,2
1/29/2017,25,27,82,0,2
1/30/2017,21,27.3,82,0.2,1
1/31/2017,23,26.6,85,1,1
2/1/2017,22,26.2,85,0,1
2/2/2017,23,26.7,84,0.5,1
2/3/2017,28,25.9,84,0.8,2
2/4/2017,17,27.6,78,1.3,4
2/5/2017,15,28.6,75,6,3
2/6/2017,16,28.3,73,6.5,2
2/7/2017,20,28.6,74,5.2,2
2/8/2017,19,28,75,3,3
2/9/2017,20,27.4,79,2.5,2
2/10/2017,23,26.4,87,0.4,1
2/11/2017,23,26,87,0,2
2/12/2017,18,27.2,84,0,2
2/13/2017,21,27.4,81,2.5,2
2/14/2017,32,26.5,85,4.6,2
2/15/2017,22,26.7,83,2.2,2
2/16/2017,19,27.2,83,7.5,2
2/17/2017,30,27.1,84,5.1,1
2/18/2017,25,27.9,80,5.6,2
2/19/2017,34,26.7,90,2,1
2/20/2017,31,26.1,94,0,0
2/21/2017,34,25.8,88,4.6,1
2/22/2017,25,27.5,82,4.6,2
2/23/2017,27,27.4,81,8.7,2
2/24/2017,30,27.5,84,5,2
2/25/2017,24,28.5,75,4.2,2
2/26/2017,25,27.5,83,2,2
2/27/2017,23,28.1,80,8,2
2/28/2017,26,28.2,80,6.5,1
3/1/2017,26,28.1,78,3.4,1
3/2/2017,28,28.2,78,5,2
3/3/2017,33,27.8,84,4.6,1
3/4/2017,25,27.6,80,4,1
3/5/2017,24,28.4,77,4.6,2
3/6/2017,19,28.7,75,9,1
3/7/2017,22,27.7,79,3.5,1
3/8/2017,22,28,79,1.2,2
3/9/2017,22,28.1,78,5,1
3/10/2017,28,28.3,78,8.3,1
3/11/2017,27,27.8,79,5.6,2
3/12/2017,29,28.6,75,7.5,1
3/13/2017,24,28.8,73,5,1
3/14/2017,24,29.4,72,4.6,2
3/15/2017,20,29.8,67,2.6,2
3/16/2017,20,28.5,75,4,2
3/17/2017,25,28.6,80,4.6,1
3/18/2017,33,27,82,3.2,1
3/19/2017,27,27.9,79,0.3,2
3/20/2017,17,27.6,80,6,1
3/21/2017,23,28.1,81,1,1
3/22/2017,24,27.4,84,4,2
3/23/2017,33,25.9,86,1.2,1
3/24/2017,50,28.1,79,1.4,1
3/25/2017,20,28.6,79,9,1
3/26/2017,30,28.6,80,0.8,1
3/27/2017,23,27.4,80,1.8,1
3/28/2017,35,27.4,82,7.3,1
3/29/2017,27,28.8,76,8,1
3/30/2017,20,28.6,73,6,2
3/31/2017,18,26.9,83,6,1
4/1/2017,19,27.9,79,0.4,1
4/2/2017,23,27.3,84,5,1
4/3/2017,24,27.8,78,4,1
4/4/2017,24,27.8,80,3,1
4/5/2017,24,28.7,73,6.3,3
4/6/2017,16,28.6,73,6.5,2
4/7/2017,17,28.5,74,5,3
4/8/2017,16,27.4,78,1,2
4/9/2017,14,28.8,75,2.1,2
4/10/2017,20,29.4,75,6,1
4/11/2017,23,28.3,82,7.7,2
4/12/2017,26,27.9,79,3.2,2
4/13/2017,26,28.4,81,3,1
4/14/2017,24,28.6,78,2.4,1
4/15/2017,20,28.9,79,4.1,1
4/16/2017,26,28.7,78,6,1
4/17/2017,24,29,79,0,1
4/18/2017,26,28.7,80,4.5,1
4/19/2017,18,27.9,80,3.5,1
4/20/2017,18,29.2,74,6.5,1
4/21/2017,24,29,79,6.7,1
4/22/2017,31,28.5,81,3,1
4/23/2017,22,28.8,74,4.5,1
4/24/2017,17,29.5,75,2,1
4/25/2017,30,29.8,73,6,1
4/26/2017,18,27.9,81,6.5,1
4/27/2017,33,28.3,78,1,1
4/28/2017,28,28.3,76,3.7,2
4/29/2017,17,29.7,79,6,1
4/30/2017,18,29,73,3,1
5/1/2017,20,28.5,78,5.6,2
5/2/2017,27,28,81,6.5,1
5/3/2017,34,29,80,5.6,1
5/4/2017,22,29,78,3,1
5/5/2017,23,28.9,78,5.4,2
5/6/2017,22,27.8,83,5,1
5/7/2017,26,27.8,82,4,1
5/8/2017,27,28.4,79,2,1
5/9/2017,30,29.1,77,4.2,1
5/10/2017,28,28.9,75,3,1
5/11/2017,28,28.2,76,0.1,1
5/12/2017,25,28.8,76,0,1
5/13/2017,20,29.4,74,6.4,1
